देश,2
के,30
में,36
से,21
पावर,9
प्लांट्स,12
पास,8
दिन,6
का,12
कोयला,17
ये,3
आंकड़े,1
बताते,2
हैं,8
कि,11
पर्याप्त,4
नहीं,7
है,38
अब,7
सवाल,2
यह,4
ऐसी,1
स्थिति,2
बनी,1
क्यों,2
जिस,1
कोल,11
इंडिया,11
पर,4
कोयले,12
लिए,6
निर्भर,2
क्या,3
वह,3
आपूर्ति,6
करने,2
विफल,1
रहा,2
भास्कर,2
पड़ताल,2
पता,2
चला,2
भी,8
लाख,8
टन,8
स्टॉक,7
इससे,1
तक,9
कर,5
सकता,4
दरअसल,1
विदेश,2
महंगा,2
होते,2
ही,4
ने,10
इसका,2
आयात,2
बंद,7
दिया,2
वे,1
पूरी,4
तरह,1
हो,6
गए,2
की,20
कमी,4
निपटने,2
तैयारी,1
थी,3
क्षमता,1
कम,2
दी,1
जैसे,1
घटी,1
बिजली,12
यूनिट,4
होने,4
लगीं,1
मतलब,1
साफ,1
उत्पन्न,1
न,2
तैयार,1
था,2
और,4
प्लांट,4
इधर,1
दिल्ली,1
मंत्रालय,2
रविवार,2
को,10
बताया,2
अभी,1
जो,4
अधिक,4
इसकी,1
जाना,1
वहीं,1
खपत,1
शनिवार,1
करोड़,3
घटकर,1
रह,1
गई,3
शुक्रवार,1
इसके,1
चलते,1
बीच,1
देशभर,1
सुधार,1
हुआ,3
एक्सपर्ट,1
राय,1
टेक्निकल,1
ऑपरेशन,1
पूर्व,2
निदेशक,1
राकेश,1
कुमार,1
मार्केटिंग,1
डायरेक्टर,1
एसएन,1
प्रसाद,1
इस,4
बारे,1
बात,1
उन्होंने,1
संकट,5
गहराने,1
कारण,4
बताए,1
उद्योग,3
खुलने,1
मांग,7
बढ़ी,2
कोरोनाकाल,2
थे,1
अनलॉक,1
बाद,3
खुलते,1
बढ़ती,1
आज,2
जबकि,3
बढ़ी,3
ज्यादा,1
बारिश,2
पानी,2
भरा,2
सितंबर,2
मानसून,3
विदा,2
जाता,2
बार,1
होती,1
रही,3
कई,5
ओपनकास्ट,1
खुली,1
खदानें,1
साइडिंग,1
पहुंच,2
मार्ग,1
खराब,1
हुए,2
डिस्पैच,2
सका,1
निर्भरता,1
चीन,2
ऑस्ट्रेलिया,1
बजाय,1
इंडोनेशिया,1
लेने,1
लगा,1
बड़े,1
मंगाना,1
सबको,1
चाहिए,3
घटाया,1
ढुलाई,1
तेजी,1
हुई,2
मांगते,1
घंटे,1
ऐसे,1
रखने,1
लगे,1
नियमानुसार,1
होना,1
तो,2
तुरंत,1
मिला,1
आगे,1
करना,1
होगा,1
उत्पादन,12
बढ़े,1
उसे,1
भेजें,1
व,1
अन्य,1
कारणों,1
बाधित,1
अपने,3
हाथ,2
पहुंचे,1
बढ़ाएं,1
टॉप,1
टु,1
बॉटम,1
दिशा,1
काम,1
करें,1
प्लान,1
बनाकर,1
जुटें,1
जैसा,1
सरकार,1
कह,1
नीतिगत,1
फैसला,1
रुकावट,1
बने,1
प्रोजेक्टों,1
मेगा,1
माइंस,2
पांच,1
साल,2
जमीन,2
उपलब्ध,1
होनी,1
विवाद,1
पड़ी,1
चालू,1
हों,1
लक्ष्य,3
पीछे,2
आंकड़े,1
दो,1
गिरा,1
कंपनी,1
किया,1
यानी,1
वर्तमान,1
मुख्यमंत्री,2
प्रधानमंत्री,1
लिखा,2
पत्र,2
प्रभावित,1
संभावना,1
देखते,1
योगी,1
आदित्यनाथ,1
नरेंद्र,1
मोदी,1
अतिरिक्त,1
पूरा,1
ऊर्जा,3
मंत्री,1
श्रीकांत,1
शर्मा,1
कहा,1
गहरा,3
यूरोप,2
गैस,3
महंगी,1
दुनिया,4
देशों,3
हालात,2
बिगड़,1
रहे,3
भर,1
गया,1
अंधेरे,1
डूबने,1
हालत,1
पैदा,1
कुछ,1
कट,2
चुकी,1
किल्लत,1
वाली,1
नेचुरल,2
तेल,1
दाम,2
आसमान,1
छू,1
वर्ष,1
शुरुआत,1
बढ़,1
चुके,1
फैक्ट्रियों,1
फीसदी,1
चुका,1
बड़ा,2
आखिर,1
झेलना,1
पड़,1
कब,1
रहने,1
वाला,1
विशेषज्ञों,1
अनुसार,1
कोरोना,1
काल,1
सामान्य,1
लौटने,1
क्षेत्र,1
अचानक,1
आशंका,1
जताई,1
जा,1
आने,1
वाले,1
दिनों,1
खबर,1
पढ़ें,1
खबरें,1
